Jahr	 1- und 2-Sterne	 3-Sterne	 4- und 5-Sterne	 Nicht klassiert
2009	47.20136986	48.52107482	116.2547945	15.77727639
2010	51.65958904	51.19279554	109.7727854	16.08122482
2011	51.77089041	51.88310502	112.550137	17.40924658
2012	47.05191257	53.51954603	111.8100182	12.38041194
2013	50.90361146	53.00854795	107.4643836	11.65753425
2014	55.1633873	53.56591781	99.80608828	12.78547945
2015	65.97708593	54.73380822	101.3768645	15.0859589
2016	71.89972678	55.81799075	95.48542805	20.20846995
2017	73.64876712	62.41896733	97.16518936	28.84794521
2018	72.68767123	63.31043203	99.52667204	28.86712329
Ø 2009-2018	58.79640117	54.79721855	105.1212361	17.91006708

